,UNRATE,CORE_PCE,UNRATE_3MMA,UNRATE_12M_MIN,SAHM_INDICATOR,FLAG_SAHM_RECESSION,CORE_PCE_YOY,FLAG_INFLATION_ABOVE_2PCT
2020-02-05,3.6,104.507,,,,0,,0
2020-03-07,3.5,104.711,,,,0,,0
2020-04-05,4.4,104.632,3.8333333333333335,,,0,,0
2020-05-06,14.8,104.293,7.566666666666667,,,0,,0
2020-06-05,13.2,104.402,10.799999999999999,,,0,,0
2020-07-06,11.0,104.565,13.0,,,0,,0
2020-08-05,10.2,104.937,11.466666666666667,,,0,,0
2020-09-05,8.4,105.243,9.866666666666667,,,0,,0
2020-10-06,7.8,105.41,8.8,,,0,,0
2020-11-05,6.9,105.507,7.7,,,0,,0
2020-12-06,6.7,105.605,7.133333333333333,,,0,,0
2021-01-05,6.7,105.896,6.766666666666667,,,0,,0
2021-02-05,6.4,106.281,6.6000000000000005,,,0,1.6974939477738316,0
2021-03-08,6.2,106.501,6.433333333333334,3.8333333333333335,2.6,1,1.7094670091967412,0
2021-04-05,6.1,106.933,6.233333333333334,6.233333333333334,0.0,0,2.1991360195733556,1
2021-05-06,6.1,107.558,6.133333333333333,6.133333333333333,0.0,0,3.1306032044336574,1
2021-06-05,5.8,108.099,6.0,6.0,0.0,0,3.5411199019175887,1
2021-07-06,5.9,108.603,5.933333333333334,5.933333333333334,0.0,0,3.8617128102137466,1
2021-08-05,5.4,109.058,5.7,5.7,0.0,0,3.92711817566731,1
2021-09-05,5.1,109.409,5.466666666666666,5.466666666666666,0.0,0,3.9584580447155737,1
2021-10-06,4.7,109.641,5.066666666666667,5.066666666666667,0.0,0,4.013850678303776,1
2021-11-05,4.5,110.188,4.766666666666667,4.766666666666667,0.0,0,4.436672448273571,1
2021-12-06,4.1,110.77,4.433333333333333,4.433333333333333,0.0,0,4.8908669097107005,1
2022-01-05,3.9,111.418,4.166666666666667,4.166666666666667,0.0,0,5.2145501246505965,1
2022-02-05,4.0,111.976,4.0,4.0,0.0,0,5.35843659732218,1
2022-03-08,3.9,112.468,3.9333333333333336,3.9333333333333336,0.0,0,5.602764293293028,1
2022-04-05,3.7,112.914,3.8666666666666667,3.8666666666666667,0.0,0,5.593221924008485,1
2022-05-06,3.7,113.307,3.766666666666667,3.766666666666667,0.0,0,5.345023150300299,1
2022-06-05,3.6,113.703,3.6666666666666665,3.6666666666666665,0.0,0,5.184136763522318,1
2022-07-06,3.6,114.376,3.6333333333333333,3.6333333333333333,0.0,0,5.31569109508947,1
2022-08-05,3.5,114.628,3.5666666666666664,3.5666666666666664,0.0,0,5.107374057840786,1
2022-09-05,3.6,115.276,3.566666666666667,3.5666666666666664,4.440892098500626e-16,0,5.362447330658338,1
2022-10-06,3.5,115.788,3.533333333333333,3.533333333333333,0.0,0,5.606479327988612,1
2022-11-05,3.6,116.204,3.5666666666666664,3.533333333333333,0.033333333333333215,0,5.459759683450094,1
2022-12-06,3.6,116.539,3.566666666666667,3.533333333333333,0.03333333333333366,0,5.20808883271644,1
2023-01-05,3.5,116.952,3.566666666666667,3.533333333333333,0.03333333333333366,0,4.9668814733705435,1
2023-02-05,3.5,117.505,3.533333333333333,3.533333333333333,0.0,0,4.937665213974429,1
2023-03-08,3.6,117.929,3.5333333333333337,3.533333333333333,4.440892098500626e-16,0,4.855603371625716,1
2023-04-05,3.5,118.315,3.5333333333333337,3.533333333333333,4.440892098500626e-16,0,4.783286394955444,1
2023-05-06,3.4,118.734,3.5,3.5,0.0,0,4.789642299240104,1
2023-06-05,3.6,119.083,3.5,3.5,0.0,0,4.731625374880166,1
